ƒ,Long_Title,Subtitle,Currency,ISA_eligible,ISIN,MIC,Symbol,Fractional_Enabled,PLUS_only,for_Ireland_investors,for_Netherlands_investors,DUTCH_KIID_URL
Tegna,Tegna,Broadcaster,USD,TRUE,US87901J1051,XNYS,TGNA,TRUE,FALSE,TRUE,TRUE,
AO Smith,AO Smith Corp,Water heaters,USD,TRUE,US8318652091,XNYS,AOS,TRUE,FALSE,TRUE,TRUE,
Mettler Toldeo,Mettler-Toledo International Inc,Scales,USD,TRUE,US5926881054,XNYS,MTD,TRUE,FALSE,TRUE,TRUE,
Lowe's,Lowe's Companies Inc,Hardware stores,USD,TRUE,US5486611073,XNYS,LOW,TRUE,FALSE,TRUE,TRUE,
Northrop Grumman,Northrop Grumman Corp,Defence,USD,TRUE,US6668071029,XNYS,NOC,TRUE,FALSE,TRUE,TRUE,
Cooper-Standard Auto.,Cooper Std Hld Inc,Car parts,USD,TRUE,US21676P1030,XNYS,CPS,TRUE,TRUE,TRUE,TRUE,
PVH,PVH Corp,Calvin Klein,USD,TRUE,US6936561009,XNYS,PVH,TRUE,FALSE,TRUE,TRUE,
Rubius Therapeutics,Rubius Therapeutics Inc,Biotech,USD,TRUE,US78116T1034,XNAS,RUBY,TRUE,FALSE,TRUE,TRUE,
Bloom Energy,Bloom Energy Corp,Green energy,USD,TRUE,US0937121079,XNYS,BE,TRUE,FALSE,TRUE,TRUE,
Veeco,Veeco Instrument,LED film,USD,TRUE,US9224171002,XNAS,VECO,TRUE,TRUE,TRUE,TRUE,
Verizon,Verizon Communications Inc,Broadband and wireless,USD,TRUE,US92343V1044,XNYS,VZ,TRUE,FALSE,TRUE,TRUE,
New Mountain,New Mountain Finance Corp,Investment firm,USD,TRUE,US6475511001,XNYS,NMFC,TRUE,FALSE,TRUE,TRUE,
Triumph,Triumph Group Inc,Aircraft parts,USD,TRUE,US8968181011,XNYS,TGI,TRUE,FALSE,TRUE,TRUE,
Strategic Education,Strategic Education,Education,USD,TRUE,US86272C1036,XNAS,STRA,TRUE,FALSE,TRUE,TRUE,
Co-Diagnostics,Co-Diagnostics Inc,COVID-19 testing,USD,TRUE,US1897631057,XNAS,CODX,TRUE,FALSE,TRUE,TRUE,
American Outdoor,"American Outdoor Brands, Inc",Smith & Wesson,USD,TRUE,US02875D1090,XNAS,AOUT,TRUE,FALSE,TRUE,TRUE,
KLA,KLA Corp,Semiconductor tech,USD,TRUE,US4824801009,XNAS,KLAC,TRUE,FALSE,TRUE,TRUE,
NextEra Energy,NextEra Energy,Clean energy,USD,FALSE,US65341B1061,XNYS,NEP,TRUE,FALSE,TRUE,TRUE,
Biogen,Biogen Inc,Biotech therapies,USD,TRUE,US09062X1037,XNAS,BIIB,TRUE,FALSE,TRUE,TRUE,
Broadridge,Broadridge Financial Solutions Inc,Financial comms,USD,TRUE,US11133T1034,XNYS,BR,TRUE,FALSE,TRUE,TRUE,
Arch Resources,Arch Resources Inc,Metallurgy,USD,TRUE,US03940R1077,XNYS,ARCH,TRUE,FALSE,TRUE,TRUE,
Weis Markets,Weis Markets Inc,Food retail stores,USD,TRUE,US9488491047,XNYS,WMK,TRUE,FALSE,TRUE,TRUE,
TriMas Corp.,TriMas Corp,Manufacturer,USD,FALSE,US8962152091,XNAS,TRS,TRUE,FALSE,TRUE,TRUE,
NantKwest,"NantKwest, Inc.",Immunotherapy,USD,TRUE,US63016Q1022,XNAS,NK,TRUE,FALSE,TRUE,TRUE,
Colony Capital,Colony Capital Inc.,Investment firm,USD,TRUE,US19626G1085,XNYS,CLNY,TRUE,FALSE,TRUE,TRUE,
Sleep Number Corporation,Sleep Number Corp,Beds,USD,TRUE,US83125X1037,XNAS,SNBR,TRUE,TRUE,TRUE,TRUE,
Marcus Corporation,Marcus Corp,Hotels and cinemas,USD,TRUE,US5663301068,XNYS,MCS,TRUE,TRUE,TRUE,TRUE,
Apple,Apple Inc,iPhones,USD,TRUE,US0378331005,XNAS,AAPL,TRUE,FALSE,TRUE,TRUE,
Radian Group,Radian Group,Mortgage insurance,USD,TRUE,US7502361014,XNYS,RDN,TRUE,FALSE,TRUE,TRUE,
Exelixis,Exelixis Inc,Cancer drugs,USD,TRUE,US30161Q1040,XNAS,EXEL,TRUE,FALSE,TRUE,TRUE,
Heartland Express,Heartland Express,Trucking,USD,TRUE,US4223471040,XNAS,HTLD,TRUE,TRUE,TRUE,TRUE,
IAC,IAC/Interactivecorp,Internet businesses,USD,TRUE,US44891N1090,XNAS,IAC,TRUE,FALSE,TRUE,TRUE,
II-IV Incorporated,II-IV Incorporated,Materials engineering,USD,TRUE,US9021041085,XNAS,IIVI,TRUE,FALSE,TRUE,TRUE,
Curtiss-Wright,Curtiss-Wright,Valves,USD,TRUE,US2315611010,XNYS,CW,TRUE,FALSE,TRUE,TRUE,
Morningstar,Morningstar Inc,Investment research,USD,TRUE,US6177001095,XNAS,MORN,TRUE,FALSE,TRUE,TRUE,
ASML,ASML Holding NV (ADR),Semiconductor equipment,USD,TRUE,USN070592100,XNAS,ASML,TRUE,FALSE,TRUE,TRUE,
Herc Holdings,Herc Holdings Inc. Common Stock,Equipment rentals,USD,TRUE,US42704L1044,XNYS,HRI,TRUE,FALSE,TRUE,TRUE,
Coty,Coty Inc,Beauty products,USD,TRUE,US2220702037,XNYS,COTY,TRUE,FALSE,TRUE,TRUE,
LHC Group,LHC Group Inc,In-home healthcare,USD,TRUE,US50187A1079,XNAS,LHCG,TRUE,FALSE,TRUE,TRUE,
Cardinal Health,Cardinal Health Inc,Medical products,USD,TRUE,US14149Y1082,XNYS,CAH,TRUE,FALSE,TRUE,TRUE,
Herman Miller,Herman Miller Inc,Furniture,USD,TRUE,US6005441000,XNAS,MLHR,TRUE,FALSE,TRUE,TRUE,
Tradeweb,Tradeweb Markets Inc,Financial technology,USD,TRUE,US8926721064,XNAS,TW,TRUE,FALSE,TRUE,TRUE,
Francesca's,Francescas Holdings Corp,Fashion,USD,TRUE,US3517931040,XNAS,FRAN,TRUE,FALSE,TRUE,TRUE,
Jabil Circuit,Jabil Circuit Inc,Appliances,USD,TRUE,US4663131039,XNYS,JBL,TRUE,FALSE,TRUE,TRUE,
Ultra Clean,Ultra Clean Holdings,Semiconductors,USD,TRUE,US90385V1070,XNAS,UCTT,TRUE,TRUE,TRUE,TRUE,
J&J Snack Foods,J J Snack Foods,Minute Maid,USD,TRUE,US4660321096,XNAS,JJSF,TRUE,TRUE,TRUE,TRUE,
Hershey's,Hershey Co,Peanut butter cups,USD,TRUE,US4278661081,XNYS,HSY,TRUE,FALSE,TRUE,TRUE,
OneConnect,OneConnect Financial Technology Co Ltd (ADR),Chinese fintech,USD,FALSE,US68248T1051,XNYS,OCFT,TRUE,FALSE,TRUE,TRUE,
Enerpac Tool Group,Actuant Corp,Specialist tools,USD,TRUE,US2927651040,XNYS,EPAC,TRUE,TRUE,TRUE,TRUE,
EchoStar,EchoStar,Satellite internet,USD,TRUE,US2787681061,XNAS,SATS,TRUE,FALSE,TRUE,TRUE,
Ulta Beauty,Ulta Beauty Inc,Makeup,USD,TRUE,US90384S3031,XNAS,ULTA,TRUE,FALSE,TRUE,TRUE,
Conduent,Conduent Inc.,Tech services,USD,TRUE,US2067871036,XNAS,CNDT,TRUE,FALSE,TRUE,TRUE,
Enphase Energy,Enphase Energy Inc,Energy technology,USD,TRUE,US29355A1079,XNAS,ENPH,TRUE,FALSE,TRUE,TRUE,
Overstock.com,Overstock.com Inc,Home retail,USD,TRUE,US6903701018,XNAS,OSTK,TRUE,FALSE,TRUE,TRUE,
Western Union,The Western Union Co,Money transfer,USD,TRUE,US9598021098,XNYS,WU,TRUE,FALSE,TRUE,TRUE,
Rent-A-Center,Rent-A-Center Inc,Rent-to-own,USD,TRUE,US76009N1000,XNAS,RCII,TRUE,TRUE,TRUE,TRUE,
Summit Materials,Summit Materials,Cement,USD,TRUE,US86614U1007,XNYS,SUM,TRUE,FALSE,TRUE,TRUE,
Chegg,Chegg Inc,Online tutoring,USD,TRUE,US1630921096,XNYS,CHGG,TRUE,FALSE,TRUE,TRUE,
Synnex,Synnex Corporation,Outsourcing,USD,TRUE,US87162W1009,XNYS,SNX,TRUE,FALSE,TRUE,TRUE,
Southwestern Energy,Southwestern Energy Co,Natural gas,USD,TRUE,US8454671095,XNYS,SWN,TRUE,FALSE,TRUE,TRUE,
BJ's,BJ's Wholesale Club Holdings Inc,Warehouse clubs,USD,TRUE,US05550J1016,XNYS,BJ,TRUE,FALSE,TRUE,TRUE,
Builders FirstSource,Builders FirstSource,Building supplies,USD,TRUE,US12008R1077,XNAS,BLDR,TRUE,FALSE,TRUE,TRUE,
Match,Match Group Inc,Online dating,USD,TRUE,US57667L1070,XNAS,MTCH,TRUE,FALSE,TRUE,TRUE,
Voyager Therapeutics,"Voyager Therapeutics, Inc.",Gene therapy,USD,TRUE,US92915B1061,XNAS,VYGR,TRUE,FALSE,TRUE,TRUE,
Root,Root Insurance Co,Car insurance,USD,TRUE,US77664L1089,XNAS,ROOT,TRUE,FALSE,TRUE,TRUE,
Valhi,"Valhi, Inc.",Hold Co,USD,TRUE,US9189052098,XNYS,VHI,TRUE,FALSE,TRUE,TRUE,
World Fuel Services,World Fuel Services Corp.,Specialist solutions,USD,TRUE,US9814751064,XNYS,INT,TRUE,FALSE,TRUE,TRUE,
Nasdaq,Nasdaq Inc,Stock exchanges,USD,TRUE,US6311031081,XNAS,NDAQ,TRUE,FALSE,TRUE,TRUE,
CDW,CDW Corp,IT solutions,USD,TRUE,US12514G1085,XNAS,CDW,TRUE,FALSE,TRUE,TRUE,
Prevail Therapeutics,Prevail Therapeutics Inc.,Biotech,USD,TRUE,US74140Y1010,XNAS,PRVL,TRUE,FALSE,TRUE,TRUE,
Cadence,Cadence Design Systems Inc,Design automation,USD,TRUE,US1273871087,XNAS,CDNS,TRUE,FALSE,TRUE,TRUE,
Varian,Varian Medical Systems Inc,Medical technology,USD,TRUE,US92220P1057,XNYS,VAR,TRUE,FALSE,TRUE,TRUE,
Genuine Parts,Genuine Parts Company,Spare tires,USD,TRUE,US3724601055,XNYS,GPC,TRUE,FALSE,TRUE,TRUE,
Kinsale Capital,Kinsale Capital Group Inc,Specialist insurance,USD,TRUE,US49714P1084,XNAS,KNSL,TRUE,TRUE,TRUE,TRUE,
News Corporation,News Corporation,Newspapers,USD,TRUE,US65249B2088,XNAS,NWS,TRUE,FALSE,TRUE,TRUE,
Kforce,Kforce Inc,Recruitment,USD,TRUE,US4937321010,XNAS,KFRC,TRUE,FALSE,TRUE,TRUE,
Liveramp,Liveramp Holdings Inc,Data management,USD,TRUE,US53815P1084,XNYS,RAMP,TRUE,FALSE,TRUE,TRUE,
Winnebago,Winnebago Industries,Recreational vehicles,USD,TRUE,US9746371007,XNYS,WGO,TRUE,TRUE,TRUE,TRUE,
EMCORE,EMCORE Corp,Tech hardware,USD,TRUE,US2908462037,XNAS,EMKR,TRUE,FALSE,TRUE,TRUE,
Intra-Cellular,Intra-Cellular Therapies Inc,Biopharma,USD,TRUE,US46116X1019,XNAS,ITCI,TRUE,FALSE,TRUE,TRUE,
Maximus,Maximus Inc,Outsourced HR,USD,TRUE,US5779331041,XNYS,MMS,TRUE,FALSE,TRUE,TRUE,
Yelp,Yelp Inc,Restaurant reviews,USD,TRUE,US9858171054,XNYS,YELP,TRUE,FALSE,TRUE,TRUE,
Cryoport,Cryoport,Cryogenic shipping,USD,TRUE,US2290503075,XNAS,CYRX,TRUE,FALSE,TRUE,TRUE,
US Physical Therapy,U.S. Physical Therapy,Physio,USD,TRUE,US90337L1089,XNYS,USPH,TRUE,TRUE,TRUE,TRUE,
Maxar Technologies,Maxar Technologies Inc,Spaceships,USD,TRUE,US57778K1051,XNYS,MAXR,TRUE,FALSE,TRUE,TRUE,
eGain,eGain Corporation,Ecommerce,USD,TRUE,US28225C8064,XNAS,EGAN,TRUE,FALSE,TRUE,TRUE,
Mastercard,Mastercard Inc,Credit cards,USD,TRUE,US57636Q1040,XNYS,MA,TRUE,FALSE,TRUE,TRUE,
Interpublic Group,Interpublic Group of Companies Inc,Advertising,USD,TRUE,US4606901001,XNYS,IPG,TRUE,FALSE,TRUE,TRUE,
Lumentum,Lumentum Holdings Inc,Telecommunications,USD,TRUE,US55024U1097,XNAS,LITE,TRUE,FALSE,TRUE,TRUE,
WD-40,The WD-40 Company Inc,Fixes everything,USD,TRUE,US9292361071,XNAS,WDFC,TRUE,FALSE,TRUE,TRUE,
Zoetis,"Zoetis, Inc.",Pet medicine,USD,TRUE,US98978V1035,XNYS,ZTS,TRUE,FALSE,TRUE,TRUE,
Rex American,Rex American Resources Corp,Natural gas,USD,TRUE,US7616241052,XNYS,REX,TRUE,TRUE,TRUE,TRUE,
Valvoline,Valvoline,Quick-lube,USD,TRUE,US92047W1018,XNYS,VVV,TRUE,FALSE,TRUE,TRUE,
PetIQ,PetIQ Inc,Pet health,USD,TRUE,US71639T1060,XNAS,PETQ,TRUE,FALSE,TRUE,TRUE,
The Timken Company,The Timken Company,Steel components,USD,TRUE,US8873891043,XNYS,TKR,TRUE,FALSE,TRUE,TRUE,
Envista Holdings,Envista Holdings,Dentists kit,USD,TRUE,US29415F1049,XNYS,NVST,TRUE,FALSE,TRUE,TRUE,
ITW,Illinois Tool Works Inc,Machines,USD,TRUE,US4523081093,XNYS,ITW,TRUE,FALSE,TRUE,TRUE,
Qualcomm,Qualcomm Inc,Chips etc,USD,TRUE,US7475251036,XNAS,QCOM,TRUE,FALSE,TRUE,TRUE,
Callaway Golf,Callaway Golf Company,Golf clubs,USD,TRUE,US1311931042,XNYS,ELY,TRUE,FALSE,TRUE,TRUE,
Phunware,Phunware Inc,App monetisation,USD,TRUE,US71948P1003,XNAS,PHUN,TRUE,FALSE,TRUE,TRUE,
Maxim,Maxim Integrated Products Inc,Integrated circuits,USD,TRUE,US57772K1016,XNAS,MXIM,TRUE,FALSE,TRUE,TRUE,
PerkinElmer,PerkinElmer Inc,Diagnostics,USD,TRUE,US7140461093,XNYS,PKI,TRUE,FALSE,TRUE,TRUE,
Gray Television,Gray Television Inc,TV broadcasting,USD,TRUE,US3893751061,XNYS,GTN,TRUE,FALSE,TRUE,TRUE,
Northwest Gas,Northwest Natural Gas Company,Natural gas,USD,TRUE,US66765N1054,XNYS,NWN,TRUE,TRUE,TRUE,TRUE,
AB InBev,Anheuser-Busch InBev SA/NV (ADR),Stella Artois,USD,TRUE,US03524A1088,XNYS,BUD,TRUE,FALSE,TRUE,TRUE,
Splunk,Splunk Inc,Big data analysis,USD,TRUE,US8486371045,XNAS,SPLK,TRUE,FALSE,TRUE,TRUE,
SYKES,Sykes Enterprises,Consulting,USD,TRUE,US8712371033,XNAS,SYKE,TRUE,TRUE,TRUE,TRUE,
Alaska Air,Alaska Air Group Inc,Flights,USD,TRUE,US0116591092,XNYS,ALK,TRUE,FALSE,TRUE,TRUE,
GameStop,GameStop Inc,Gamers heaven,USD,TRUE,US36467W1099,XNYS,GME,TRUE,FALSE,TRUE,TRUE,
T. Rowe Price,T. Rowe Price Group Inc,Wealth management,USD,TRUE,US74144T1088,XNAS,TROW,TRUE,FALSE,TRUE,TRUE,
Rocket Pharma,Rocket Pharmaceuticals Inc,Biotech,USD,TRUE,US77313F1066,XNAS,RCKT,TRUE,FALSE,TRUE,TRUE,
Teladoc,Teladoc Health Inc,Virtual healthcare,USD,TRUE,US87918A1051,XNYS,TDOC,TRUE,FALSE,TRUE,TRUE,
Hill-Rom Holdings,Hill-Rom Holdings Inc,Medical tech,USD,TRUE,US4314751029,XNYS,HRC,TRUE,FALSE,TRUE,TRUE,
FLEETCOR,FleetCor Technologies Inc,Fuel cards,USD,TRUE,US3390411052,XNYS,FLT,TRUE,FALSE,TRUE,TRUE,
Alleghany Tech,Alleghany Technologies Inc.,Super strong metal,USD,TRUE,US01741R1023,XNYS,ATI,TRUE,FALSE,TRUE,TRUE,
Comcast,Comcast Corp,Cable TV,USD,TRUE,US20030N1019,XNAS,CMCSA,TRUE,FALSE,TRUE,TRUE,
Atlas Air,Atlas Air Ww,Aircraft leasing,USD,TRUE,US0491642056,XNAS,AAWW,TRUE,TRUE,TRUE,TRUE,
Cincinnati Financial,Cincinnati Financial Corp,Home insurance,USD,TRUE,US1720621010,XNAS,CINF,TRUE,FALSE,TRUE,TRUE,
Fiserv,Fiserv Inc,Fintech,USD,TRUE,US3377381088,XNAS,FISV,TRUE,FALSE,TRUE,TRUE,
PulteGroup,PulteGroup Inc,Home construction,USD,TRUE,US7458671010,XNYS,PHM,TRUE,FALSE,TRUE,TRUE,
Charles Schwab,Charles Schwab Corp,Freetrade wannabes,USD,TRUE,US8085131055,XNYS,SCHW,TRUE,FALSE,TRUE,TRUE,
TopBuild,TopBuild Corporation,Construction,USD,TRUE,US89055F1030,XNYS,BLD,TRUE,FALSE,TRUE,TRUE,
Zillow,Zillow Group Inc,American Rightmove,USD,TRUE,US98954M2008,XNAS,Z,TRUE,FALSE,TRUE,TRUE,
News Corp,News Corp,Wall Street Journal,USD,TRUE,US65249B1098,XNYS,NWSA,TRUE,FALSE,TRUE,TRUE,
Tetra Tech,Tetra Tech Inc,Consultants,USD,TRUE,US88162G1031,XNAS,TTEK,TRUE,FALSE,TRUE,TRUE,
Penske Automotive,Penske Automotive,Trucks,USD,TRUE,US70959W1036,XNYS,PAG,TRUE,FALSE,TRUE,TRUE,
Lands' End,"Lands&apos; End, Inc.",Fashion,USD,TRUE,US51509F1057,XNYS,LE,TRUE,FALSE,TRUE,TRUE,
Cannae Holdings,Cannae Holdings,Investment company,USD,TRUE,US13765N1072,XNYS,CNNE,TRUE,FALSE,TRUE,TRUE,
Tupperware Brands,Tupperware Brands Corp,Food storage,USD,TRUE,US8998961044,XNYS,TUP,TRUE,FALSE,TRUE,TRUE,
Flying Eagle,Flying Eagle Acquisition Corporation,Skillz,USD,TRUE,US34407Y1038,XNYS,FEAC,TRUE,FALSE,TRUE,TRUE,
Saia,Saia Inc,Trucking,USD,TRUE,US78709Y1055,XNAS,SAIA,TRUE,TRUE,TRUE,TRUE,
Eaton Vance,Eaton Vance Corporation,Asset management,USD,TRUE,US2782651036,XNYS,EV,TRUE,FALSE,TRUE,TRUE,
McKesson,McKesson Corp,Healthcare,USD,TRUE,US58155Q1031,XNYS,MCK,TRUE,FALSE,TRUE,TRUE,
Peloton,Peloton Interactive Inc,Connected bikes,USD,TRUE,US70614W1009,XNAS,PTON,TRUE,FALSE,TRUE,TRUE,
MarketAxess,MarketAxess Holdings Inc,Bond trading,USD,TRUE,US57060D1081,XNAS,MKTX,TRUE,FALSE,TRUE,TRUE,
Pegasystems,Pegasystems Inc,CRM software,USD,TRUE,US7055731035,XNAS,PEGA,TRUE,FALSE,TRUE,TRUE,
Ashland Global,Ashland Inc,Glue,USD,TRUE,US0441861046,XNYS,ASH,TRUE,FALSE,TRUE,TRUE,
Inphi Corporation,Inphi Corporation,Semiconductors,USD,TRUE,US45772F1075,XNYS,IPHI,TRUE,FALSE,TRUE,TRUE,
Equifax,Equifax Inc,Credit reporting,USD,TRUE,US2944291051,XNYS,EFX,TRUE,FALSE,TRUE,TRUE,
CryoLife,Cryolife,Transplants,USD,TRUE,US2289031005,XNYS,CRY,TRUE,TRUE,TRUE,TRUE,
PCA,Packaging Corporation of America,Cardboard boxes,USD,TRUE,US6951561090,XNYS,PKG,TRUE,FALSE,TRUE,TRUE,
Waddell & Reed,Waddell & Reed Financial,Asset management,USD,TRUE,US9300591008,XNYS,WDR,TRUE,TRUE,TRUE,TRUE,
SolarWinds,SolarWinds Inc,Software engineering,USD,TRUE,US83417Q1058,XNYS,SWI,TRUE,FALSE,TRUE,TRUE,
HMS,Hms Hlds Cp,Medical tech,USD,TRUE,US40425J1016,XNAS,HMSY,TRUE,TRUE,TRUE,TRUE,
Astronics,Astronics Corp,Aerospace manufacturing,USD,TRUE,US0464331083,XNAS,ATRO,TRUE,FALSE,TRUE,TRUE,
Babcock & Wilcox,Babcock & Wilcox Enterprises Inc,Steam and nuclear,USD,TRUE,US05614L1008,XNYS,BW,TRUE,FALSE,TRUE,TRUE,
KBR,KBR,Engineering,USD,TRUE,US48242W1062,XNYS,KBR,TRUE,FALSE,TRUE,TRUE,
Skechers,Skechers USA Inc,Shoes,USD,TRUE,US8305661055,XNYS,SKX,TRUE,FALSE,TRUE,TRUE,
KB Home,KB Home,Construction,USD,TRUE,US48666K1097,XNYS,KBH,TRUE,FALSE,TRUE,TRUE,
Diebold Nixdorf,Diebold Nixdorf Inc,Payments,USD,TRUE,US2536511031,XNYS,DBD,TRUE,TRUE,TRUE,TRUE,
CVR Energy,"CVR Energy, Inc.",Petroleum and fertiliser,USD,TRUE,US12662P1084,XNYS,CVI,TRUE,FALSE,TRUE,TRUE,
Vericel,Vericel Corporation,Sports medicine,USD,TRUE,US92346J1088,XNAS,VCEL,TRUE,FALSE,TRUE,TRUE,
Visa,Visa Inc,Credit cards,USD,TRUE,US92826C8394,XNYS,V,TRUE,FALSE,TRUE,TRUE,
Ferro,Ferro Corp,Materials,USD,TRUE,US3154051003,XNYS,FOE,TRUE,TRUE,TRUE,TRUE,
Navient,Navient Corp,Student loans,USD,TRUE,US63938C1080,XNAS,NAVI,TRUE,FALSE,TRUE,TRUE,
Union Pacific,Union Pacific Railroad Co,Railroads,USD,TRUE,US9078181081,XNYS,UNP,TRUE,FALSE,TRUE,TRUE,
Avista,Avista Corp,Energy,USD,TRUE,US05379B1070,XNYS,AVA,TRUE,TRUE,TRUE,TRUE,
Colfax,Colfax,Welding gear,USD,TRUE,US1940141062,XNYS,CFX,TRUE,FALSE,TRUE,TRUE,
DXC Technology,DXC Technology Co,B2B IT solutions,USD,TRUE,US23355L1061,XNYS,DXC,TRUE,FALSE,TRUE,TRUE,
Esco Tech,Esco Technologies Inc,Engineered products,USD,TRUE,US2963151046,XNYS,ESE,TRUE,TRUE,TRUE,TRUE,
Neogen,Neogen Corporation,Food safety,USD,TRUE,US6404911066,XNAS,NEOG,TRUE,TRUE,TRUE,TRUE,
Ellington Financial,Ellington Financial LLC,Mortgages,USD,FALSE,US28852N1090,XNYS,EFC,TRUE,FALSE,TRUE,TRUE,
Quanex,Quanex Building Products Corp,Kitchen cabinets,USD,TRUE,US7476191041,XNYS,NX,TRUE,TRUE,TRUE,TRUE,
Encore Wire,Encore Wire Cp,Wiring,USD,TRUE,US2925621052,XNAS,WIRE,TRUE,TRUE,TRUE,TRUE,
TCP Capital,TCP Capital Corp,Debt investors,USD,FALSE,US09259E1082,XNAS,TCPC,TRUE,FALSE,TRUE,TRUE,
Levi's,Levi Strauss & Co,Jeans,USD,TRUE,US52736R1023,XNYS,LEVI,TRUE,FALSE,TRUE,TRUE,
Fortress Transportation and Infrastructure,Fortress Transportation and Infrastructure Investors LLC,Logistics,USD,FALSE,US34960P1012,XNYS,FTAI,TRUE,FALSE,TRUE,TRUE,
GreenSky,"GreenSky, Inc.",Payments,USD,TRUE,US39572G1004,XNAS,GSKY,TRUE,FALSE,TRUE,TRUE,
Acadia Healthcare,Acadia Healthcare,Mental health,USD,TRUE,US00404A1097,XNAS,ACHC,TRUE,FALSE,TRUE,TRUE,
OGE Energy,OGE Energy Corporation,Utility,USD,TRUE,US6708371033,XNYS,OGE,TRUE,FALSE,TRUE,TRUE,
Infinera,Infinera Corporation,Networks,USD,TRUE,US45667G1031,XNAS,INFN,TRUE,FALSE,TRUE,TRUE,
Brady,Brady Corp,Print materials,USD,TRUE,US1046741062,XNYS,BRC,TRUE,TRUE,TRUE,TRUE,
Verint,Verint,Analytics,USD,TRUE,US92343X1000,XNAS,VRNT,TRUE,FALSE,TRUE,TRUE,
Paychex,Paychex Inc,HR tech,USD,TRUE,US7043261079,XNAS,PAYX,TRUE,FALSE,TRUE,TRUE,
S&P Global,S&P Global Inc,Indices,USD,TRUE,US78409V1044,XNAS,SPGI,TRUE,FALSE,TRUE,TRUE,
DTE Energy,DTE Energy Co,Energy,USD,TRUE,US2333311072,XNYS,DTE,TRUE,FALSE,TRUE,TRUE,
Sirius XM Group,Liberty Sirius XM Group,Radio,USD,FALSE,US5312296073,XNAS,LSXMK,TRUE,FALSE,TRUE,TRUE,
Conagra,Conagra Brands Inc,Bomb shelter food,USD,TRUE,US2058871029,XNYS,CAG,TRUE,FALSE,TRUE,TRUE,
Designer Brands,Designer Brands Inc,Shoes,USD,TRUE,US2505651081,XNYS,DBI,TRUE,FALSE,TRUE,TRUE,
Crane Co.,Crane Co.,Industrial products,USD,TRUE,US2243991054,XNYS,CR,TRUE,FALSE,TRUE,TRUE,
Scientific Games,Scientific Games,Gambling,USD,TRUE,US80874P1093,XNAS,SGMS,TRUE,FALSE,TRUE,TRUE,
Albemarle,Albemarle Corp,Specialty chemicals,USD,TRUE,US0126531013,XNYS,ALB,TRUE,FALSE,TRUE,TRUE,
TransDigm,TransDigm Group Inc,Aerospace systems,USD,TRUE,US8936411003,XNYS,TDG,TRUE,FALSE,TRUE,TRUE,
Corning,Corning Incorporated plc,Glass,USD,TRUE,US2193501051,XNYS,GLW,TRUE,FALSE,TRUE,TRUE,
Progressive,The Progressive Corp,Car insurance,USD,TRUE,US7433151039,XNYS,PGR,TRUE,FALSE,TRUE,TRUE,
RR Donnelley,Donnelley [R.R.] & Sons Company,Printing,USD,TRUE,US2578672006,XNYS,RRD,TRUE,TRUE,TRUE,TRUE,
Soliton,Soliton Inc,Tattoo removal,USD,TRUE,US8342511008,XNAS,SOLY,TRUE,FALSE,TRUE,TRUE,
Black & Decker,Stanley Black & Decker Inc,DIY tools,USD,TRUE,US8545021011,XNYS,SWK,TRUE,FALSE,TRUE,TRUE,
Liberty Broadband,Liberty Broadband Corp,Data miners & broadband,USD,TRUE,US5303073051,XNAS,LBRDK,TRUE,FALSE,TRUE,TRUE,
Fox,Fox Corp,Fox News,USD,TRUE,US35137L1052,XNAS,FOXA,TRUE,FALSE,TRUE,TRUE,
Loral,"Loral Space & Communications, Inc.",Satellite communications,USD,TRUE,US5438811060,XNAS,LORL,TRUE,FALSE,TRUE,TRUE,
H&E Equipment,H&E Equipment Services Inc,Industrial equipment,USD,FALSE,US4040301081,XNAS,HEES,TRUE,FALSE,TRUE,TRUE,
R1 RCM,R1 RCM,Debt collection,USD,TRUE,US7493971052,XNAS,RCM,TRUE,FALSE,TRUE,TRUE,
Perficient,Perficient Inc,Consulting,USD,TRUE,US71375U1016,XNAS,PRFT,TRUE,TRUE,TRUE,TRUE,
Progyny,Progyny Inc,Fertility solutions,USD,TRUE,US74340E1038,XNAS,PGNY,TRUE,FALSE,TRUE,TRUE,
Limelight Networks,Limelight Networks Inc,Content delivery service,USD,TRUE,US53261M1045,XNAS,LLNW,TRUE,FALSE,TRUE,TRUE,
Vulcan Materials,Vulcan Materials Co,VMC,USD,TRUE,US9291601097,XNYS,VMC,TRUE,FALSE,TRUE,TRUE,
East West Bancorp,East West Bancorp Inc,Personal banking,USD,TRUE,US27579R1041,XNAS,EWBC,TRUE,FALSE,TRUE,TRUE,
McDonald's,McDonald's Corp,Big Macs,USD,TRUE,US5801351017,XNYS,MCD,TRUE,FALSE,TRUE,TRUE,
PJT partners,PJT partners,Investment banking,USD,TRUE,US69343T1079,XNYS,PJT,TRUE,FALSE,TRUE,TRUE,
Innoviva,Innoviva Inc,Medical research,USD,TRUE,US45781M1018,XNAS,INVA,TRUE,TRUE,TRUE,TRUE,
Kroger,The Kroger Co,Groceries,USD,TRUE,US5010441013,XNYS,KR,TRUE,FALSE,TRUE,TRUE,
Fulgent,Fulgent Genetics Inc,Genetic testing,USD,TRUE,US3596641098,XNAS,FLGT,TRUE,FALSE,TRUE,TRUE,
